时间,压力,功率
2017/11/21 17:58:30,15.6375,538.342
2017/11/21 17:59:00,15.6375,538.342
2017/11/21 17:59:30,15.6375,538.384
2017/11/21 18:00:00,15.6375,538.915
2017/11/21 18:00:30,15.4726,538.915
2017/11/21 18:01:00,15.4726,539.652
2017/11/21 18:01:30,15.4726,539.652
2017/11/21 18:02:00,15.4726,540.347
2017/11/21 18:02:30,15.4726,540.347
2017/11/21 18:03:00,15.4726,540.919
2017/11/21 18:03:30,15.4726,540.919
2017/11/21 18:04:00,15.4726,541.492
2017/11/21 18:04:30,15.4726,542.065
2017/11/21 18:05:00,15.4726,542.065
2017/11/21 18:05:30,15.4726,542.679
2017/11/21 18:06:00,15.4726,542.679
2017/11/21 18:06:30,15.4726,542.679
2017/11/21 18:07:00,15.4726,542.679
2017/11/21 18:07:30,15.4726,543.21
2017/11/21 18:08:00,15.6375,543.21
2017/11/21 18:08:30,15.6375,543.21
2017/11/21 18:09:00,15.6375,543.21
2017/11/21 18:09:30,15.6375,543.21
2017/11/21 18:10:00,15.6375,542.679
2017/11/21 18:10:30,15.6375,542.679
2017/11/21 18:11:00,15.6375,542.679
2017/11/21 18:11:30,15.6375,542.679
2017/11/21 18:12:00,15.6375,542.679
2017/11/21 18:12:30,15.6375,542.107
2017/11/21 18:13:00,15.6375,542.107
2017/11/21 18:13:30,15.6375,541.534
2017/11/21 18:14:00,15.6375,541.534
2017/11/21 18:14:30,15.6375,540.961
2017/11/21 18:15:00,15.6375,540.389
2017/11/21 18:15:30,15.6375,540.389
2017/11/21 18:16:00,15.6375,539.816
2017/11/21 18:16:30,15.6375,539.243
2017/11/21 18:17:00,15.6375,539.243
2017/11/21 18:17:30,15.6375,539.243
2017/11/21 18:18:00,15.6375,538.67
2017/11/21 18:18:30,15.6375,538.67
2017/11/21 18:19:00,15.4726,539.201
2017/11/21 18:19:30,15.4726,539.201
2017/11/21 18:20:00,15.4726,539.201
2017/11/21 18:20:30,15.4726,539.201
2017/11/21 18:21:00,15.4726,539.816
2017/11/21 18:21:30,15.4726,540.511
2017/11/21 18:22:00,15.4726,540.511
2017/11/21 18:22:30,15.4726,541.083
2017/11/21 18:23:00,15.4726,541.656
2017/11/21 18:23:30,15.4726,542.229
2017/11/21 18:24:00,15.4726,542.229
2017/11/21 18:24:30,15.4726,542.802
2017/11/21 18:25:00,15.4726,542.802
2017/11/21 18:25:30,15.4726,542.802
2017/11/21 18:26:00,15.4726,542.802
2017/11/21 18:26:30,15.4726,542.802
2017/11/21 18:27:00,15.6375,542.802
2017/11/21 18:27:30,15.6375,542.802
2017/11/21 18:28:00,15.6375,542.802
2017/11/21 18:28:30,15.6375,542.802
2017/11/21 18:29:00,15.6375,542.802
2017/11/21 18:29:30,15.6375,542.802
2017/11/21 18:30:00,15.6375,542.229
2017/11/21 18:30:30,15.6375,542.229
2017/11/21 18:31:00,15.6375,542.229
2017/11/21 18:31:30,15.6375,541.656
2017/11/21 18:32:00,15.6375,541.656
2017/11/21 18:32:30,15.6375,540.961
2017/11/21 18:33:00,15.6375,540.961
2017/11/21 18:33:30,15.6375,540.961
2017/11/21 18:34:00,15.6375,540.961
2017/11/21 18:34:30,15.6375,540.389
2017/11/21 18:35:00,15.6375,540.389
2017/11/21 18:35:30,15.6375,540.389
2017/11/21 18:36:00,15.6375,540.389
2017/11/21 18:36:30,15.6375,540.389
2017/11/21 18:37:00,15.6375,540.389
2017/11/21 18:37:30,15.6375,540.389
2017/11/21 18:38:00,15.6375,540.389
2017/11/21 18:38:30,15.6375,540.389
2017/11/21 18:39:00,15.6375,540.389
2017/11/21 18:39:30,15.6375,540.389
2017/11/21 18:40:00,15.6375,539.816
2017/11/21 18:40:30,15.6375,540.347
2017/11/21 18:41:00,15.6375,540.347
2017/11/21 18:41:30,15.6375,540.347
2017/11/21 18:42:00,15.6375,540.347
2017/11/21 18:42:30,15.6375,540.347
2017/11/21 18:43:00,15.6375,540.347
2017/11/21 18:43:30,15.6375,540.347
2017/11/21 18:44:00,15.6375,540.347
2017/11/21 18:44:30,15.6375,540.347
2017/11/21 18:45:00,15.6375,540.347
2017/11/21 18:45:30,15.6375,540.347
2017/11/21 18:46:00,15.6375,540.347
2017/11/21 18:46:30,15.6375,540.347
2017/11/21 18:47:00,15.6375,540.347
2017/11/21 18:47:30,15.6375,540.347
2017/11/21 18:48:00,15.6375,540.347
2017/11/21 18:48:30,15.6375,540.347
2017/11/21 18:49:00,15.6375,540.347
2017/11/21 18:49:30,15.6375,540.347
2017/11/21 18:50:00,15.6375,540.347
2017/11/21 18:50:30,15.6375,540.347
2017/11/21 18:51:00,15.6375,540.347
2017/11/21 18:51:30,15.6375,539.694
2017/11/21 18:52:00,15.6375,539.407
2017/11/21 18:52:30,15.6375,539.407
2017/11/21 18:53:00,15.6375,539.407
2017/11/21 18:53:30,15.6375,539.407
2017/11/21 18:54:00,15.6375,538.835
2017/11/21 18:54:30,15.6375,538.835
2017/11/21 18:55:00,15.4726,538.835
2017/11/21 18:55:30,15.4726,538.835
2017/11/21 18:56:00,15.4726,539.365
2017/11/21 18:56:30,15.4726,539.365
2017/11/21 18:57:00,15.4726,539.365
2017/11/21 18:57:30,15.4726,539.938
2017/11/21 18:58:00,15.4726,539.938
2017/11/21 18:58:30,15.4726,540.511
2017/11/21 18:59:00,15.4726,541.083
2017/11/21 18:59:30,15.4726,541.125
